chain_id,a,b,c,repeats,sum_ab,sum_bc,median_lag_days,first_date,last_date
H00228,100000004400305100,100000004071080100,100000004071070100,2,20000.00000000,36000.00000000,0.00000000,2026-07-06,2026-07-07
H00229,100000002957787100,100000005268319100,100000002957787100,2,19712.80000000,24000.00000000,0.00000000,2026-07-02,2026-07-04
H00230,100000005268319100,100000002957787100,100000005268319100,2,24000.00000000,19712.80000000,1.00000000,2026-07-02,2026-07-04
H00231,100000003888271100,100000000580561100,100000005183943100,2,18680.00000000,680900.00000000,2.00000000,2026-07-20,2026-07-26
H00232,100000003888271100,100000000580561100,100000007939160100,2,18680.00000000,795000.00000000,0.00000000,2026-07-20,2026-07-24
H00233,100000001893287100,100000004698193100,100000001893287100,2,152700.00000000,18000.00000000,1.50000000,2026-07-15,2026-07-18
H00234,100000003016635100,100000004188160100,100000003016635100,2,79262.00000000,18000.00000000,0.50000000,2026-07-21,2026-07-22
H00235,100000004140487100,100000008730846100,100000003115284100,2,18000.00000000,185000.00000000,0.00000000,2026-07-19,2026-07-19
H00236,100000003016635100,100000008169544100,100000003016635100,2,137104.00000000,17300.00000000,1.00000000,2026-07-19,2026-07-20
H00237,100000008169544100,100000003016635100,100000000667713100,2,17300.00000000,106745.00000000,0.00000000,2026-07-20,2026-07-20
H00238,100000008169544100,100000003016635100,100000001567366100,2,17300.00000000,824070.00000000,0.50000000,2026-07-20,2026-07-21
H00239,100000008169544100,100000003016635100,100000002173161100,2,17300.00000000,869500.00000000,1.00000000,2026-07-20,2026-07-21
H00240,100000008169544100,100000003016635100,100000004188160100,2,17300.00000000,79262.00000000,1.50000000,2026-07-20,2026-07-22
H00241,100000008169544100,100000003016635100,100000004330371100,2,17300.00000000,96671.00000000,1.00000000,2026-07-20,2026-07-21
H00242,100000008169544100,100000003016635100,100000004664905100,2,17300.00000000,234620.00000000,1.00000000,2026-07-11,2026-07-21
H00243,100000004692798100,100000000831684100,100000004692798100,2,15000.00000000,50000.00000000,0.50000000,2026-07-23,2026-07-24
H00244,100000005268319100,100000002957787100,100000004071080100,2,24000.00000000,15000.00000000,1.50000000,2026-07-02,2026-07-04
H00245,100000005910114100,100000002957787100,100000004071080100,2,45856.00000000,15000.00000000,0.00000000,2026-07-03,2026-07-04
H00246,100000006788200100,100000006994985100,100000007140834100,2,48500.00000000,10200.00000000,1.00000000,2026-07-18,2026-07-22
H00247,100000008254069100,100000003809101100,100000008254069100,2,20000.00000000,10200.00000000,0.50000000,2026-07-12,2026-07-13
